	2017	2018	diff	sum	2017_norm	2018_norm	norm_diff
for	305.000	384.000	79.000	689.000	0.047	0.048	0.001
learning	141.000	216.000	75.000	357.000	0.022	0.027	0.005
adversarial	16.000	61.000	45.000	77.000	0.002	0.008	0.005
and	159.000	189.000	30.000	348.000	0.025	0.024	-0.001
network	66.000	95.000	29.000	161.000	0.010	0.012	0.002
video	39.000	67.000	28.000	106.000	0.006	0.008	0.002
a	105.000	131.000	26.000	236.000	0.016	0.016	0.000
of	93.000	115.000	22.000	208.000	0.014	0.014	0.000
by	28.000	50.000	22.000	78.000	0.004	0.006	0.002
3d	57.000	79.000	22.000	136.000	0.009	0.010	0.001
with	120.000	141.000	21.000	261.000	0.019	0.018	-0.001
estimation	34.000	55.000	21.000	89.000	0.005	0.007	0.002
object	52.000	72.000	20.000	124.000	0.008	0.009	0.001
generative	17.000	35.000	18.000	52.000	0.003	0.004	0.002
attention	12.000	30.000	18.000	42.000	0.002	0.004	0.002
feature	16.000	34.000	18.000	50.000	0.002	0.004	0.002
reidentification	13.000	30.000	17.000	43.000	0.002	0.004	0.002
from	63.000	80.000	17.000	143.000	0.010	0.010	0.000
towards	2.000	17.000	15.000	19.000	0.000	0.002	0.002
detection	54.000	69.000	15.000	123.000	0.008	0.009	0.000
pose	26.000	41.000	15.000	67.000	0.004	0.005	0.001
image	92.000	107.000	15.000	199.000	0.014	0.013	-0.001
to	52.000	67.000	15.000	119.000	0.008	0.008	0.000
transfer	12.000	26.000	14.000	38.000	0.002	0.003	0.001
person	19.000	33.000	14.000	52.000	0.003	0.004	0.001
adaptation	10.000	23.000	13.000	33.000	0.002	0.003	0.001
face	19.000	32.000	13.000	51.000	0.003	0.004	0.001
unsupervised	17.000	30.000	13.000	47.000	0.003	0.004	0.001
generation	9.000	22.000	13.000	31.000	0.001	0.003	0.001
question	9.000	21.000	12.000	30.000	0.001	0.003	0.001
via	42.000	54.000	12.000	96.000	0.006	0.007	0.000
segmentation	47.000	59.000	12.000	106.000	0.007	0.007	0.000
answering	8.000	20.000	12.000	28.000	0.001	0.003	0.001
point	11.000	22.000	11.000	33.000	0.002	0.003	0.001
visual	51.000	62.000	11.000	113.000	0.008	0.008	-0.000
synthesis	9.000	20.000	11.000	29.000	0.001	0.003	0.001
shape	19.000	30.000	11.000	49.000	0.003	0.004	0.001
inference	6.000	17.000	11.000	23.000	0.001	0.002	0.001
depth	16.000	27.000	11.000	43.000	0.002	0.003	0.001
domain	10.000	21.000	11.000	31.000	0.002	0.003	0.001
loss	5.000	15.000	10.000	20.000	0.001	0.002	0.001
networks	102.000	112.000	10.000	214.000	0.016	0.014	-0.002
guided	5.000	15.000	10.000	20.000	0.001	0.002	0.001
cloud	3.000	12.000	9.000	15.000	0.000	0.002	0.001
endtoend	8.000	17.000	9.000	25.000	0.001	0.002	0.001
reconstruction	13.000	22.000	9.000	35.000	0.002	0.003	0.001
largescale	6.000	14.000	8.000	20.000	0.001	0.002	0.001
human	21.000	29.000	8.000	50.000	0.003	0.004	0.000
facial	11.000	19.000	8.000	30.000	0.002	0.002	0.001
sparse	7.000	15.000	8.000	22.000	0.001	0.002	0.001
superresolution	6.000	14.000	8.000	20.000	0.001	0.002	0.001
single	19.000	27.000	8.000	46.000	0.003	0.003	0.000
gans	1.000	8.000	7.000	9.000	0.000	0.001	0.001
geometry	4.000	11.000	7.000	15.000	0.001	0.001	0.001
model	15.000	22.000	7.000	37.000	0.002	0.003	0.000
tracking	19.000	26.000	7.000	45.000	0.003	0.003	0.000
localization	15.000	22.000	7.000	37.000	0.002	0.003	0.000
dense	11.000	18.000	7.000	29.000	0.002	0.002	0.001
filters	1.000	8.000	7.000	9.000	0.000	0.001	0.001
in	85.000	92.000	7.000	177.000	0.013	0.012	-0.002
convolutions	1.000	8.000	7.000	9.000	0.000	0.001	0.001
hand	4.000	11.000	7.000	15.000	0.001	0.001	0.001
crowd	1.000	8.000	7.000	9.000	0.000	0.001	0.001
conditional	5.000	11.000	6.000	16.000	0.001	0.001	0.001
monocular	9.000	15.000	6.000	24.000	0.001	0.002	0.000
matching	19.000	25.000	6.000	44.000	0.003	0.003	0.000
without	1.000	7.000	6.000	8.000	0.000	0.001	0.001
selfsupervised	3.000	9.000	6.000	12.000	0.000	0.001	0.001
view	3.000	9.000	6.000	12.000	0.000	0.001	0.001
prediction	13.000	19.000	6.000	32.000	0.002	0.002	0.000
recurrent	15.000	21.000	6.000	36.000	0.002	0.003	0.000
style	5.000	11.000	6.000	16.000	0.001	0.001	0.001
fast	15.000	21.000	6.000	36.000	0.002	0.003	0.000
uncertainty	0.000	5.000	5.000	5.000	0.000	0.001	0.001
geometryaware	0.000	5.000	5.000	5.000	0.000	0.001	0.001
performance	1.000	6.000	5.000	7.000	0.000	0.001	0.001
representations	7.000	12.000	5.000	19.000	0.001	0.002	0.000
knowledge	4.000	9.000	5.000	13.000	0.001	0.001	0.001
attentive	0.000	5.000	5.000	5.000	0.000	0.001	0.001
translation	3.000	8.000	5.000	11.000	0.000	0.001	0.001
me	0.000	5.000	5.000	5.000	0.000	0.001	0.001
